Star,Main ID,TIC,Sectors,Pmix,ATL numax (muHz),TIC numax (muHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument,Fast,Comments
HD 20630,kap01 Cet,343813545,31,,,4184.909909413263,03 19 21.694, +03 22 12.60,G5Vvar,4.842,3.039,2.957,0.936,0.025,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,True,Very messy light curve with doubling in sector 31.
HD 21019,HD 21019,9967949,"4, 31",1.0,719.0010000000003,760.1627621958309,03 23 17.697,-07 47 38.57,G2V,6.215,4.579,4.417,0.606,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Very large spread in sector 4. ATL estimate seems off.
HD 22049,eps Eri,118572803,"4, 31",,,6962.853112896282,03 32 55.8449,-09 27 29.731,K2V,3.7300000190734863,1.75,1.6699999570846558,2.126,0.014,Di Folco et al. 2007,FLUOR,False,Doubling of sector 31.
HD 22049,eps Eri,118572803,31,,,6962.853112896282,03 32 55.8449,-09 27 29.731,K2V,3.7300000190734863,1.75,1.6699999570846558,2.126,0.014,Di Folco et al. 2007,FLUOR,True,Doubling of sector 31.
HD 22484,10 Tau,649766486,31,1.0,1318.9129999999998,,03 36 52.381, +00 24 05.43,F9V,4.29,2.9160000000000004,2.835,1.081,0.014,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 23596,HD 23596,201266092,18,0.4490000009536743,1234.114,1468.3834838199703,03 48 00.3743,+40 31 50.300,F8,7.239999771118164,5.9619998931884775,5.874000072479247,0.381,0.044,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,ATL estimate seems off.
HD 24398,zet Per,94367286,18,,,,03 54 07.932, +31 53 01.19,B1Ib,2.872,2.6210000000000004,2.603,0.542,0.006999999999999999,"Challouf et al. 2014, A&A, 570, A104",VEGA,False,Very irregular light curve but doesn't seem to have anything of note.
HD 24712,V* DO Eri,279485093,"5, 31",0.5460000038146973,1263.281,,03 55 16.1314,-12 05 56.729,A9VpSrEuCr,6.0,5.314000129699707,5.26200008392334,0.335,0.009000000000000001,"K. Perraut, et al., Astronomy & Astrophysics, 590, A117 (2016).",VEGA,False,Need to fix plot/lightcurve as two sectors are doubled up. Seems to have some oscillations at around the high end but might just be past the Nyquist due to the bad stitching.
HD 24712,V* DO Eri,279485093,31,0.5460000038146973,1263.281,,03 55 16.1314,-12 05 56.729,A9VpSrEuCr,6.0,5.314000129699707,5.26200008392334,0.335,0.009000000000000001,"K. Perraut, et al., Astronomy & Astrophysics, 590, A117 (2016).",VEGA,True,Need to fix plot/lightcurve as two sectors are doubled up. Seems to have some oscillations at around the high end but might just be past the Nyquist due to the bad stitching.
HD 25457,HD 25457,9150015,"5, 32",0.6010000109672546,2447.836,2390.03679644733,04 02 36.7451,-00 16 08.118,F7V,5.380000114440918,4.3420000076293945,4.181000232696533,0.5820000000000001,0.016,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC,False,ATL estimate seems off.
HD 25457,HD 25457,9150015,32,0.6010000109672546,2447.836,2390.03679644733,04 02 36.7451,-00 16 08.118,F7V,5.380000114440918,4.3420000076293945,4.181000232696533,0.5820000000000001,0.016,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC,True,ATL estimate seems off.
HD 26965,omi02 Eri,67772871,"5, 32",,,5546.022440631361,04 15 16.320,-07 39 10.34,K1V,4.419,2.594,2.498,1.504,0.006,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Nothing of note.
HD 26965,omi02 Eri,67772871,32,,,5546.022440631361,04 15 16.320,-07 39 10.34,K1V,4.419,2.594,2.498,1.504,0.006,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,True,Nothing of note.
HD 29391,51 Eri,298810162,"5, 32",0.5429999828338623,1939.311,1496.606682735486,04 37 36.1323,-02 28 24.778,F0IV,5.209000110626222,4.769999980926514,4.537000179290772,0.518,0.009000000000000001,"M. Simon and G.H. Schaefer, The Astrophysical Journal, 743, 158 (2011).",CLASSIC,False,Very large spread in light curve. ATL estimate seems off.
HD 30652,pi.03 Ori,399665349,"5, 32",1.0,1896.297,1877.1783073656582,04 49 50.403, +06 57 40.93,F6V,3.1830000000000003,1.757,1.6,1.526,0.004,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
