Star,Main ID,TIC,Sectors,Pmix,ATL numax (muHz),TIC 0.8M numax (muHz),TIC 1.2M numax (muHz),TIC 2.4M numax (muHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument,Fast,Comments
HD 186408,16 Cyg A,27533341,"14, 15",0.6940000057220459,2053.002,1586.7579733387884,2380.1369600081825,4760.273920016365,19 41 48.965, +50 31 30.54,G2V,5.949,4.724,4.426,0.539,0.006999999999999999,White et al. 2013,PAVO,False,ATL estimate seems off.
HD 186427,16 Cyg B,27533327,"14, 15",0.6940000057220459,2053.002,1953.2425867424415,2929.8638801136617,5859.727760227323,19 41 51.984, +50 31 03.28,G5V,6.199999809265138,4.699999809265137,4.651000022888184,0.426,0.055999999999999994,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,Was in SSP project survey. Needs cleaning.
HD 186427,16 Cyg B,27533327,"14, 15",0.6940000057220459,2053.002,1953.2425867424415,2929.8638801136617,5859.727760227323,19 41 51.984, +50 31 03.28,G5V,6.199,4.695,4.651,0.49,0.006,White et al. 2013,PAVO,False,Was in SSP project survey. Needs cleaning.
HD 186427,16 Cyg B,27533327,"14, 15",0.6940000057220459,2053.002,1953.2425867424415,2929.8638801136617,5859.727760227323,19 41 51.984, +50 31 03.28,G5V,6.199,4.695,4.651,0.513,0.012,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Was in SSP project survey. Needs cleaning.
HD 186815,HD 186815,293806873,"14, 16, 20",,,75.37730806256668,113.06596209385002,226.13192418770004,19 43 39.4965,+57 02 33.771,K2III,6.2820000648498535,4.322000026702882,4.316999912261963,0.731,0.02,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Potential oscillations at 90 uHz.
HD 190228,HD 190228,117905020,14,1.0,545.1,389.28555345300254,583.9283301795039,1167.8566603590077,20 03 00.7728,+28 18 24.684,G5IV,7.296000003814697,5.440999984741211,5.352000236511231,0.45299999999999996,0.046,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,ATL estimate seems off.
HD 192781,HD 192781,236882599,"14, 15, 16, 17, 24",,,2.046158737385316,3.0692381060779743,6.138476212155949,20 13 27.6168,+60 38 26.046,K5III,5.78000020980835,2.361000061035156,2.128000020980835,1.859,0.003,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Very large and inconsistent spread across sectors.
HD 199305,HD 199305,365670764,"15, 16, 17, 24",,,,,,20 53 19.772, +62 09 15.67,M2V,8.576,4.919,4.618,0.722,0.008,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Large spread across sectors otherwise nothing of note.
HD 200205,HD 200205,421448572,"15, 16, 17",,,1.5621817004889214,2.343272550733382,4.686545101466764,20 59 25.3838,+59 26 18.957,K4III,5.526000022888184,2.453000068664551,2.1470000743865967,2.032,0.045,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Very messy light curve.
HD 201091,61 Cyg A,165602000,15,,,5632.456821197747,8448.68523179662,16897.37046359324,21 06 53.9396,+38 44 57.897,K5V,5.210000038146973,2.5,2.6800000667572017,1.775,0.013000000000000001,"Kervella et al. 2008, A&A, 488, 667",FLUOR,False,Nothing of note.
HD 202850,sig Cyg,167407697,15,,,,,,21 17 24.945, +39 23 40.27,B9Iab,4.244,3.864,3.6830000000000003,0.527,0.016,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,Very bad light curve.
HD 209369,16 Cep,366412503,"17, 18, 19, 24, 25",1.0,659.7719999999998,347.45604522783526,521.1840678417531,1042.368135683506,21 59 14.951, +73 10 47.64,F5V,5.034,4.027,3.96,0.621,0.018000000000000002,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Potentially could be better with cleaning. ATL estimate seems off.
HD 213558,alf Lac,468816607,"16, 17",,,,,,22 31 17.512, +50 16 57.15,A1V,3.77,3.867,3.8510000000000004,0.634,0.022000000000000002,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Was in SSP project survey. Seems more like rotation.
HD 214868,11 Lac,299208777,16,,,3.5685529850815274,5.352829477622291,10.705658955244582,22 40 30.8588,+44 16 34.704,K2.5III,4.460000038146973,1.8170000314712524,1.4600000381469729,2.7310000000000003,0.024,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Irregular light curve otherwise nothing of note.
HD 216174,HD 216174,444179899,"16, 17, 24",,,6.510843851671665,9.766265777507495,19.532531555014994,22 49 46.3147,+55 54 09.990,K1III,5.439000129699707,2.9219999313354488,2.625,1.598,0.012,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,Large spread in light curve. Nothing of note.
HD 217675,omi And,155030422,16,,,,,,23 01 55.274, +42 19 33.42,B6IIIpe,3.6310000000000002,3.841,3.886,0.508,0.015,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,Light curve is strange and there are many low signals.
HD 218029,HD 218029,427550855,"17, 18, 24",,,6.8301716398851555,10.245257459827734,20.490514919655467,23 03 32.8827,+67 12 33.153,K3III,5.230000019073486,2.499000072479248,2.325000047683716,1.8619999999999999,0.044000000000000004,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,Nothing of note.
HD 218560,HD 218560,435446525,"17, 18, 24",,,2.8716754744753317,4.3075132117129975,8.615026423425995,23 07 57.191, +64 13 21.29,K0,6.206,3.822,3.6660000000000004,0.927,0.022000000000000002,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Large spread in light curve.
HD 219080,7 And,252756054,"16, 17",0.5260000228881836,1432.665,746.3811884263122,1119.5717826394682,2239.1435652789364,23 12 32.992, +49 24 22.27,F0V,4.53,3.76,3.7910000000000004,0.648,0.008,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,Very large and irregular spread between light curve sections. ATL estimate seems off.
HD 219134,HD 219134,283722336,"17, 24",,,4787.263559289171,7180.895338933758,14361.790677867513,23 13 16.921, +57 10 05.99,K3Vvar,5.561,3.469,3.261,1.1059999999999999,0.006999999999999999,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Nothing of note.
HD 219623,HD 219623,24467943,"16, 17",0.6980000138282776,2050.547,1439.8465096488112,2159.769764473217,4319.539528946433,23 16 42.289, +53 12 48.92,F7V,5.577000000000001,4.599,4.306,0.542,0.016,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,No comment.
HD 221345,14 And,333225860,"16, 17",,,21.880523139824493,32.820784709736735,65.64156941947348,23 31 17.426, +39 14 10.20,K0III,5.225,2.608,2.331,1.489,0.032,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Nothing of note.
HD 221345,14 And,333225860,"16, 17",,,21.880523139824493,32.820784709736735,65.64156941947348,23 31 17.426, +39 14 10.20,K0III,5.225,2.6080000400543213,2.3310000896453857,1.51,0.02,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA,False,Nothing of note.
HD 221345,14 And,333225860,"16, 17",,,21.880523139824493,32.820784709736735,65.64156941947348,23 31 17.426, +39 14 10.20,K0III,5.225,2.6080000400543213,2.3310000896453857,1.3359999999999999,0.009000000000000001,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC,False,Nothing of note.
HD 222404,gam Cep,367912480,"18, 24, 25",,,,,,23 39 20.9015,+77 37 56.505,K1III-IVCN1,,1.190000057220459,1.037999987602234,3.302,0.028999999999999998,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC,False,Potential oscillations at ~200 uHz.
