HD,SpType
986,G8 III/IV        
987,G6 V            
988,A9 V              
989,K1 IIICNII        
990,F5 V              
991,G8 III            
998,F5 V              
999,K2/3 III          
1000,F7 V              
1001,F3/5 V            
1002,G5 V              
1003,K1 III           
1004,F5 IV/V         
1005,K0 III          
1014,M1/2  III         
1015,F5 V              
1016,G8/K0 III         
1017,A9 V              
1018,G1/2 V            
1019,K0/1 V(CNIII)     
1020,K2 III           
1021,K0 III           
1022,M1 III          
1023,A7 IV           
1024,F3 V            
1025,K2 III          
1030,G8 III            
1031,F5/6  V           
1032,M0/1 III        
1034,G5 V              
1035,G3 V              
1036,K0 IV             
1037,G8 III/IV         
1038,M1 III            
1039,F6 V              
1040,G3 V             
1041,M1 III           
1042,K0 III           
1043,F3 IV/V         
1049,F3 V              
1050,A9 IV/V           
1051,A7 III            
1052,F3/5 V            
1053,K2/3 III          
1054,K0 III           
1055,K3 III           
1056,G2/3 V           
1062,G8 III            
1063,M0 III            
1064,B8 V              
1065,F2 V              
1066,K2 III           
1067,K1/2 II/III     
1077,F3 V              
1078,F3 V              
1085,G8 V              
1086,A2 III            
1087,K1 IV             
1088,G0 V              
1089,K3 III            
1090,K4 III            
1091,F7/G0           
1096,G2 V              
1097,A3/5MF0-F5        
1100,K0 III            
1101,F3 IV             
1102,K0 III            
1103,K2/3 III          
1104,F3/5 V            
1105,K0 III            
1106,F7/8 (V)         
1107,K0 III           
1108,G6 V            
1111,F6 V              
1112,B9 V              
1113,G0 V              
1114,A8 V              
1115,M7/8 IIIE         
1116,G8/K1 III        
1117,F2 V             
1118,F6 V             
1123,G3/5 V            
1124,F5 V              
1125,G6 III/IVW        
1126,M1 III          
1127,G8/K0 (III)     
1134,K1 III/IV         
1135,G8 IV/V           
1136,G1 V              
1137,F5 IV/V           
1138,K1/2 III         
1139,F7 V             
1140,G5 IV/V         
1146,K0 III            
1147,F6/7  V           
1148,K0 III            
1151,A9 IV/V           
1152,G2/3 V            
1153,G8 III/IV         
1154,A0 V              
1155,K2 IIICNIB/II     
1156,F5/6 V            
1157,K2 IIICNIB/II    
1160,A0 V              
1161,F7 V              
1162,G1 V              
1163,G8 IV/V           
1164,K2/3 (III)      
1170,G0 V              
1171,G8 V              
1172,G0 V            
1173,G8/K1           
1174,K1/2 III        
1175,F5 IV/V         
1181,G8/K0 IV          
1182,G8/K0 III        
1183,F6 IV           
1184,F7 V            
1187,K2 III            
1188,K2 III            
1189,M0 III           
1190,K2 III          
1191,F8/G2           
1194,F6/7 V            
1195,F6 V              
1196,G5 V              
1197,K1/2 (III)       
1198,M4 III           
1199,A5 IV           
1200,M2/3            
1203,F3 V              
1204,G3 V              
1205,G3 V              
1206,G5/8              
1207,G8/K0 V           
1208,M0 III          
1209,F7 V            
1214,G6 V              
1215,F8/G2             
1216,G1/2 V            
1217,G8 IV             
1218,K1 III/IV        
1219,K1 IV            
1220,F3/6 IV/V + A/F 
1221,G8/K0 III       
1228,M4 III            
1229,F8 V              
1230,G3/5 V            
1231,A8 V              
1232,F3 V              
1233,K0 III            
1234,F3 V              
1235,K2 III           
1236,F6 V            
1237,G6 V            
1244,F5/7 V            
1245,G0/2              
1246,K4 III            
1247,F3 V              
1248,F3/5 V           
1249,F5 V             
1250,G8 III          
1251,F8 V            
1256,B6 III/IV         
1257,F7 V              
1258,K3 III            
1259,K0 III            
1260,K2 III          
1261,F0 V            
1266,A2 III/IV         
1267,G2 V              
1268,A9 V              
1269,G1 V(W)           
1270,F5 V             
1271,F5 V             
1272,F3 V             
1273,G2 V            
1274,G5 V            
1275,K2 III          
1284,K0 III            
1285,F3 IV/V           
1286,F3 V             
1292,M1/2              
1293,G6 V              
1294,F3 V              
1295,G8 III/IV         
1296,K0 III/IV         
1297,G0               
1298,K1 III          
1299,F5 V            
1301,K0 III            
1302,B8/9 V            
1303,F8 V              
1304,K0/1 III        
1310,K0 III            
1311,G2/3 V            
1312,K1 III            
1313,F6/7 V            
1319,G5/6 (V)          
1320,G5 V             
1321,F2 V             
1322,G8/K0 (III)      
1323,F5 V            
1324,F5 V            
1328,G8 III/IV         
1329,F8 V              
1330,G1 V              
1331,K2 III            
1332,F7 V             
1333,F3 IV/V         
1342,F6/7 V            
1343,F3 V              
1344,G0 V              
1345,G8/K0 III        
1346,K0/1 (IV/V)      
1347,G6/8             
1348,B9.5 IV         
1353,G0/2              
1354,F7 V              
1355,K1 II/III         
1356,A1/2 + F/G       
1357,G2/3 V           
1358,F6 V            
1366,G8/K0 (III)       
1367,K0 III            
1368,G2 V              
1369,G8/K0 III         
1370,K1 IIICNIb/II     
1371,K0 III          
1372,F3/5 (+ A)      
1373,K0 III          
1377,G8 III/IV         
1378,K3 III            
1379,K2/4 (V)         
1380,K3 III/V         
1381,G2/3 V           
1382,A8 IV           
1385,K0 III            
1386,G2 V              
1387,G0 V              
1388,G2 V              
1389,K0 III            
1390,F5 V            
1391,G0 IV           
1393,F0 V              
1394,G8/K1             
1395,K1 III            
1396,K3 III            
1397,G5 III/IV       
1398,F5 V            
1399,K0              
1408,G2 V              
1409,F8/G0 V           
1410,K2/3 (III)       
1411,F3 V             
1412,G3/5 V           
1413,G8 IV            
1414,K1 III          
1415,G5 V            
1420,A9 V              
1421,K2 III            
1422,K1                
1423,G8/K0 III        
1424,G5 V            
1425,F3 IV/V         
1431,B9/9.5 IV         
1432,F5 V              
1433,F3 V              
1434,K2 III            
1435,G8(W)            
1436,F5 V             
1437,K0 III          
1442,F5/7              
1443,G5/8              
1444,K2 III           
1445,K2 III/IV       
1446,F6 V            
1451,K3 III            
1452,F6 V             
1453,G6 III          
1454,G8/K0 IV/V      
1455,F8 V            
1460,K1 V              
1461,G5 V              
1462,G8 (IV)           
1463,F2 IV/V           
1464,F5 V             
1465,A0 V            
1466,F8/G0 V         
1471,G0 V              
1472,F7 V              
1473,F0/2 V            
1474,G0 V              
1475,K0 III           
1476,G5/K3 (III) + A/F
1477,F3/5 IV/V       
1481,G5/6 (V)          
1482,F3/5 V           
1483,K2 III           
1484,F3 V            
1485,F7 IV           
1490,K2/3 III          
1491,F3 V              
1492,A8 III            
1493,F5/6 V            
1494,G5 V             
1495,K4/5 III        
1498,F3 V              
1499,A2 III/IV(M)    
1503,F3/5 V            
1504,G8 III            
1505,G5 V            
1506,K0 III          
1507,A9 IV/V         
1508,K0/2 (III)      
1512,K2/3 III          
1513,F0/2 V            
1514,G8/K0 V           
1515,G0 V              
1516,G8 IVCNIII       
1517,K2/3 III        
1522,K1 II + (K)       
1523,G5 IV             
1524,F5 V              
1525,A8/F2 III/IV(M) 
1528,G8/K0 (IV)        
1529,G8 IV             
1530,G3 V             
1531,M3 III           
1532,M1 III          
1533,G3 V            
1534,G8/K3           
1539,F7 IV             
1540,K4 III            
1541,A5 III(M)         
1542,K0 IIICNIV/V    
1543,A4 V            
1548,G8/K1             
1549,K1 III           
1550,M1/2 III         
1551,F8 V            
1555,K0 III            
1556,G8 IV             
1557,F3/5 IV/V         
1558,F0 III          
1564,K0 III            
1565,K0 III            
1566,K5                
1567,G8 IV             
1568,K1/2 (III)        
1569,G2 V              
1570,F6 V            
1571,F3 IV/V         
1572,K2/3 III        
1573,K5              
1576,G3/5 V            
1577,K1 (III)          
1578,F6/7 V            
1579,G3 V              
1580,F0 V              
1581,G0 V            
1582,G1 V            
1586,M2 III            
1587,K2/3 III          
1588,K1 III/IV         
1589,K1 III            
1590,F6/7             
1591,G0 IV/V         
1592,F5 V            
1594,G8 III            
1595,F7 V              
1596,G8 III/IV         
1597,F0 V              
1608,K0 III            
1609,F7 V              
1610,F0 III/IV         
1611,K0 III            
1612,G0/3 (V)        
1617,F3 (IV)           
1618,G6 V              
1619,A1MA7-F3          
1620,G6 V              
1621,A9/F2 V          
1622,K1 V            
1623,A8/9 III/IV     
1628,M2/4              
1629,G8               
1630,G8 III/IV        
1636,F0 V              
1637,G6 IV/V           
1638,K1 III            
1639,M4/5 III        
1644,K0 III            
1645,G1 V              
1646,G8/K0 (III)      
1647,G5 III          
1651,A8 V              
1652,F5 V              
1653,K3 III            
1654,G8 IV             
1655,G5 III            
1656,K1/2 III          
1657,K0 III          
1664,G8 IV/V           
1665,A9/F0 V           
1666,F7 V              
1667,F0 IV             
1668,F3 V            
1673,K0 (III)          
1674,F7 V              
1675,F8 V              
1676,K0 III            
1678,G5 V              
1679,K1 III            
1680,G6 III/IV         
1681,G3 V              
1682,G8 III/IV         
1683,F6 V              
1684,F7 V            
1685,B9 V            
1686,F6 V            
1689,F6 V              
1690,K1 (III)          
1691,K1 III            
1692,G0 V              
1693,G8/K1 (III)     
1694,F8/G0 IV/V      
1701,F6 V              
1702,F3 V              
1703,G3/5 V            
1704,G5 V              
1705,G2 IV/V         
1706,G8 V            
1707,K0 IV           
1708,F5/6 IV/V       
1718,G8 V              
1719,A3 III            
1720,G8 III/IV         
1721,M0 III            
1722,G2/3 V           
1723,F5 V             
1724,K0/1 III        
1725,K1/2 (III)      
1726,G5              
1730,F7 V              
1735,F5/6 V            
1736,F5 V              
1737,K0 III            
1738,F3 V              
1739,F7 V             
1740,F0 III          
1741,G6/K1 (III)     
1746,K2 III            
1747,K1 III            
1748,K2                
1749,K1 III            
1750,G5 V              
1751,F7 V              
1752,G6 IV/V          
1753,F5 V            
1754,F0 V            
1755,F3 IV           
1758,Ap Sr             
1759,K4 III            
1760,M5/6 IB/II        
1761,K3/4 (III)        
1762,K3 V             
1763,F2 IV           
1765,F7 V              
1766,G1 V              
1767,K2 III          
1768,G0              
1773,G5 V              
1774,F2 V              
1775,K0 III            
1776,F5 V              
1777,A0 V            
1779,G5 V              
1780,G8 IV/V           
1781,K0 III           
1782,K2 III          
1783,F7 V            
1787,G8/K0 III         
1788,A3 III/IV         
1789,F2 V              
1790,F6 V              
1791,A9 III            
1792,F2 V             
1797,F2 V              
1798,F2 IV/V          
1799,F5 V             
1800,M3 III          
1801,K3 III          
1802,G5/6 V            
1803,K2 III            
1804,F3/5 V           
1805,F5 V             
1806,F8 V             
1807,F3 V             
1808,G5 IV/V         
1809,G8/K1           
1813,M2/3 (III)        
1814,K0 III            
1815,K1 V              
1816,K2 III            
1817,K2 III           
1818,K2 III          
1819,G8/K1 (III)     
1820,F5/7            
1823,A3 IV             
1824,F6 V              
1827,F3/5 V            
1828,F3/5 V            
1829,G6 IV/V           
1830,M2 III          
1833,K1 III            
1834,K3/4 III          
1835,G3 V              
1836,K4 III            
1837,F3/5 V           
1838,F5 V            
1839,G2 V            
1840,F5 V            
1841,K5 III          
1851,G2/3 V            
1852,K1 III            
1853,K2 III            
1854,G0 V              
1855,M0 III            
1856,F2 IV             
1857,F7/G0            
1858,F5 V             
1859,G6 V             
1860,A0 V            
1861,F5 V            
1866,F5/6 V            
1867,F3 V              
1868,K2 III            
1869,A8/9 V            
1870,G3 V              
1871,G8 IV            
1872,K0 IIICNIV/V    
1878,F7 V              
1879,M0 III            
1880,F7 V             
1881,A0 V            
1887,G8/K1 V           
1888,G5 V              
1889,G8 (III)          
1890,F6/7 V           
1891,G0 V             
1892,G0 IV/V         
1893,G8 V            
1894,K0 III            
1895,G6/8 (V)          
1896,K0 III            
1897,F7 V              
1898,F3 V              
1899,G8 IV             
1900,G8/K0 III        
1908,G5 V              
1909,B9 IV             
1910,K3/4 V            
1911,F5 V             
1912,K4 III           
1913,A3MA7-A8        
1914,F0 IV/V         
1915,F3 V            
1916,A0 V            
1920,F3/5 V            
1921,K0 III            
1922,G3/5 V            
1923,M2 III            
1924,G8 III            
1925,M3E             
1926,F8/G0 V         
1935,F2/3 IV/V         
1936,G5/6wA            
1937,F3 V              
1938,F6/7 V           
1944,G8 III            
1945,G5 V              
1946,F7/8 V            
1947,F3 V              
1948,A2/3 V          
1957,G5/6 IV           
1958,G6 V              
1959,A8 V              
1960,G5 IV/V           
1961,K2 III            
1962,K5                
1963,K0 III          
1964,F0 V            
1969,K0 III            
1970,G8 IV/V           
1971,G3 V              
1972,F5 V              
1973,M2 III           
1974,K5 III          
1978,A1 V              
1979,G6 V              
1980,F6 V              
1981,F7 V              
1982,G0 V             
1983,G8/K0 (III) (+ G)
1984,F6 V             
1985,G8 IV           
1987,M3/5e             
1988,F2 V              
1989,K1 IV/V           
1990,F5 IV/V          
1991,F8              
1992,K3/5            
1997,F5 V              
1998,F7/8 V            
1999,B8 II             
2000,F3 V             
2001,K2/3 III        
2002,F5 V            
2004,G3 V              
2005,K4/5 III          
2006,F0 V              
2007,A3 III            
2008,G8/K0 III         
2009,G8 III           
2010,G5 V             
2013,F7/8 V            
2014,K2 V              
2015,K2/3 III          
2016,F2/3 V           
2017,F7 V             
2022,G8/K0 (III)       
2023,K2 III            
2024,M3 III            
2025,K2 V              
2026,A1 V              
2027,F6/7 V           
2028,F5/6 V           
2029,F2 V            
2030,G2 V            
2031,F0/2 IV/V       
2036,A9 V              
2037,A5 IV             
2038,G0 V              
2039,G2/3 IV/V       
2040,K2 III          
2041,F6 IV/V         
2046,K0 III/IV         
2047,K1/2 (V)          
2048,F0 V              
2049,G0 V              
2050,F7 V              
2051,NEBULA          
2052,F3 IV/V         
2053,F7 IV/V         
2059,K0 III            
2060,G3 V              
2061,F8/G0 V           
2062,F5 V              
2065,F3 V              
2066,K3 III            
2067,K2 (III)          
2068,F3 V              
2069,F3 IV/V           
2070,G0 V             
2071,G8 IV + (F)     
2072,G5              
2073,K3/5 (III)      
2077,A1 IV/V           
2078,G5/6 III          
2079,G8 V              
2080,F0 V              
2081,K0/1 (IV) (+ F)  
2082,K0              
2087,K1 (IV)           
2088,G8 V             
2089,F0 IV           
2090,G0 V            
2097,K2/3 (III)        
2098,G2 V              
2099,F5 V             
2100,K4/5 (III)      
2101,G0/2 V          
2104,K4 III            
2105,G1 V              
2106,F6 V             
2107,G0 V             
2108,F5 V            
2109,F5/7            
2114,G8 III            
2115,M1/2              
2116,F3 V              
2117,F7 V              
2118,G5/6 (V)          
2119,G8 IV             
2120,G3/5 V           
2121,F3 V            
2122,F7 V            
2129,K3 III            
2130,G8 IV             
2131,F7 V              
2132,G8 (IV)           
2133,F7 V            
2134,G3 IV           
2141,G3 V              
2142,G8/K0 (III)       
2143,K0/1              
2144,K2 III           
2145,F3/5 V           
2146,G8/K0 III       
2147,G0/2 IV         
2148,F6 V            
2149,M1/3            
2150,K1 III          
2151,G1 IV           
2158,F3 V              
2159,F5 V              
2160,F2/3 V            
2161,F5 V              
2162,G6/8 V            
2163,G1/2 V            
2164,G8/K0 II          
2165,G5 V              
2166,K5 IV/V         
2167,G5              
2168,G8 IV           
2177,M1                
2178,A0/1 V            
2179,F3 V              
2180,F5 V             
2181,A1 V             
2182,G0 V             
2183,A1 V            
2184,F3 V            
2185,G8/K0 III/IV    
2192,F3 V              
2193,A1 V              
2194,K0 III            
2195,K0 III            
2196,F7 V              
2197,F8/G0 V           
2198,G3 V              
2199,K2 III            
2200,F0/2 V            
2201,G3/5              
2202,F0(P SR)         
2203,K0 III           
2204,F6 V            
2205,G2 V            
2212,F7 V              
2213,F0 V              
2214,G1 V              
2215,F5 V              
2216,F5 V             
2221,G8 V              
2222,G5 V              
2223,F6 V              
2224,G8 III            
2225,M2/3              
2226,F0 V             
2227,G8 III          
2228,K2 III          
2229,G8/K0 III/IV    
2235,B5 III            
2236,K0 III            
2237,G0 V              
2238,F6/7 V(W)         
2239,K1 III            
2240,F0 V             
2241,K2 (III)         
2242,G8/K0 (III)     
2243,G8 III          
2247,F6 V              
2248,G6/8              
2249,F5/6 IV/V        
2250,F5 IV            
2251,K1 III          
2252,F5              
2256,G3 V              
2257,K2/3 III          
2258,F3/5 V            
2259,K0 III/IV        
2260,K2 III           
2261,K0 IIIB          
2262,A6 VN            
2263,A3 II/III(P SI)  
2264,F5 V            
2267,G3 V              
2268,M1 III            
2269,F0 V              
2270,K2 III          
2273,G8 III            
2274,K1/2 III          
2275,K1 III            
2276,G5 V              
2277,G3 V              
2278,K1 III            
2279,F7 V             
2280,A2MA5-A7        
2281,K0 IV/V         
2282,G5              
2286,F3 V              
2287,G1/3              
2288,F2 V              
2289,K0 III            
2296,G6/8 V            
2297,G8/K0 III       
2298,G8 III          
2299,F6 IV           
2305,F2 V              
2306,G8 IV             
2307,F2/3 V            
2308,F7/G0 V           
2309,K0 III          
2310,G0/2 V          
2317,G3 V              
2318,F2/3 IV/V         
2319,F5 V             
2320,A9 V             
2321,G2/3 V           
2324,K1 III            
2325,G3 V              
2326,M4/5 V            
2327,F3/5 V            
2328,F8/G2           
2332,G3 IV/V           
2333,G8/K0 V           
2334,A8/9 (V)          
2335,G8 III            
2336,G3 V              
