Star,RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument
HD 182572,19 24 58.229, +11 56 40.15,G8IVvar,5.152,3.327,3.037,0.845,0.025,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 184171,19 31 46.313, +34 27 10.43,B3IV,4.735,5.093,5.114,0.234,0.011,"Challouf et al. 2014, A&A, 570, A104",VEGA
HD 185144,19 32 21.537, +69 39 41.34,K0V,4.664,3.039,2.9,1.254,0.012,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 185395,19 36 26.543, +50 13 15.57,F4V,4.493,3.716,3.537,0.861,0.015,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 185395,19 36 26.543, +50 13 15.57,F4V,4.493,3.716,3.537,0.749,0.008,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 185395,19 36 26.543, +50 13 15.57,F4V,4.493,3.716,3.537,0.753,0.009,White et al. 2013,"PAVO"
HD 186408,19 41 48.965, +50 31 30.54,G2V,5.949,4.724,4.426,0.554,0.011,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 186408,19 41 48.965, +50 31 30.54,G2V,5.949,4.724,4.426,0.539,0.007,White et al. 2013,"PAVO"
HD 186427,19 41 51.984, +50 31 03.28,G5V,6.199,4.695,4.651,0.513,0.012,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 186427,19 41 51.984, +50 31 03.28,G5V,6.199,4.695,4.651,0.49,0.006,White et al. 2013,"PAVO"
HD 186882,19 44 58.451, +45 07 50.74,B9.5III,2.894,2.947,2.678,0.791,0.004,"Challouf et al. 2014, A&A, 570, A104",VEGA
HD 190360,20 03 37.329, +29 53 49.32,G6IV,5.728,4.239,4.076,0.622,0.007,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 195564,20 32 23.696,-09 51 12.10,G3V,5.657,3.908,3.999,0.712,0.031,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
GJ 809,20 53 19.772, +62 09 15.67,M2V,8.576,4.919,4.618,0.722,0.008,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 202850,21 17 24.945, +39 23 40.27,B9Iab,4.244,3.864,3.683,0.527,0.016,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO
HD 206860,21 44 31.311, +14 46 19.06,G0V,5.953,4.598,4.559,0.53,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 209369,21 59 14.951, +73 10 47.64,F5V,5.034,4.027,3.96,0.621,0.018,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 210418,22 10 11.990, +06 11 52.28,A2V,3.52,3.39,3.377,0.862,0.018,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 213558,22 31 17.512, +50 16 57.15,A1V,3.77,3.867,3.851,0.634,0.022,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 214923,22 41 27.732, +10 49 52.64,B8.5V,3.408,3.527,3.566,0.555,0.009,"Challouf et al. 2014, A&A, 570, A104",VEGA
HD 215648,22 46 41.568, +12 10 22.84,F7V,4.203,3.078,2.961,1.091,0.008,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
GJ 880,22 56 34.805, +16 33 12.36,M2,8.694,4.8,4.523,0.744,0.004,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 217014,22 57 27.960, +20 46 07.74,G5V,5.447,4.234,3.911,0.685,0.011,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 217014,22 57 27.960, +20 46 07.74,G5V,5.447,4.234,3.911,0.65,0.014,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 217107,22 58 15.565,-02 23 43.27,G8IV,6.168,4.765,4.536,0.567,0.008,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 217675,23 01 55.274, +42 19 33.42,B6IIIpe,3.631,3.841,3.886,0.508,0.015,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO
HD 218560,23 07 57.191, +64 13 21.29,K0,6.206,3.822,3.666,0.927,0.022,"Ligi et al. 2016, A&A, 586, A94",VEGA
